taz1454,job_count,da_15,da_30,da_45,walk_15,walk_30,walk_45,bike_15,bike_30,bike_45,wTrnW_15,wTrnW_30,wTrnW_45
1.0,18473,419505.0,936197.0,1536735.0,158802,212630.0,281267.0,323784.0,390470.0,421552.0,196746,390103,576744.0
2.0,24007,419230.0,932643.0,1516616.0,143799,240617.0,301609.0,326067.0,392921.0,421552.0,183580,372361,532399.0
3.0,659,397528.0,923023.0,1511293.0,121245,247203.0,303239.0,329326.0,393172.0,421552.0,179883,362743,519395.0
4.0,14034,422457.0,954100.0,1547235.0,171485,250511.0,304003.0,331060.0,394262.0,421552.0,205867,398770,553920.0
5.0,11566,408130.0,952123.0,1533670.0,119541,247034.0,304946.0,336832.0,394867.0,423024.0,214538,388130,541401.0
6.0,4426,398932.0,947372.0,1519228.0,49357,246962.0,308627.0,338153.0,394623.0,421552.0,132194,342792,485420.0
7.0,6192,403628.0,943101.0,1523348.0,39451,244384.0,311126.0,340906.0,396801.0,424645.0,194331,368223,513082.0
8.0,2716,409096.0,941184.0,1530346.0,56445,258993.0,319019.0,342389.0,398361.0,427520.0,172601,378677,519060.0
9.0,7830,406097.0,951604.0,1532688.0,43577,195098.0,323493.0,350753.0,405900.0,430514.0,123286,366328,497143.0
10.0,3309,420045.0,962238.0,1560892.0,42473,161168.0,314640.0,347662.0,407564.0,430514.0,173151,380634,501710.0
11.0,9326,437357.0,964140.0,1575897.0,69342,262152.0,311627.0,340602.0,401064.0,430350.0,176304,357417,514580.0
12.0,7983,424476.0,949660.0,1556141.0,159596,249330.0,298350.0,333152.0,394677.0,423024.0,204932,387543,547707.0
13.0,14696,435171.0,977369.0,1563933.0,160402,234429.0,298350.0,324081.0,393562.0,421552.0,192944,378033,538382.0
14.0,14177,433006.0,977796.0,1561977.0,156848,225234.0,287762.0,322034.0,391842.0,421552.0,194433,385831,553301.0
15.0,11286,420491.0,937985.0,1540471.0,145543,206362.0,282526.0,320392.0,388051.0,421076.0,179105,371739,541085.0
16.0,23799,441638.0,986003.0,1582302.0,133193,219501.0,284116.0,320556.0,388219.0,421552.0,131740,316761,485596.0
17.0,4738,447747.0,996906.0,1594845.0,39368,205301.0,264825.0,312203.0,391337.0,421552.0,40531,305370,458069.0
