,HHPER,HHPERTRIP,origin,origin_dwell,origin_ST,origin_ET,trip_ET,TT,MODE
0,10320533,1032053301.0,home,13.75,17.75,7.5,7.55,0.04999999999999982,shared
1,10320533,1032053311.0,school,8.616666666666667,7.55,16.166666666666668,17.75,1.5833333333333321,shared
2,10320534,1032053401.0,home,13.75,17.75,7.5,7.55,0.04999999999999982,shared
3,10320534,1032053411.0,school,8.616666666666667,7.55,16.166666666666668,17.75,1.5833333333333321,shared
4,10320535,1032053501.0,home,14.833333333333332,16.666666666666668,7.5,7.55,0.04999999999999982,shared
5,10320535,1032053511.0,school,8.616666666666667,7.55,16.166666666666668,16.666666666666668,0.5,shared
6,10351982,1035198201.0,home,10.416666666666668,19.583333333333332,6.0,16.833333333333332,10.833333333333332,drive_alone
7,10351982,1035198211.0,school,2.416666666666668,16.833333333333332,19.25,19.583333333333332,0.33333333333333215,drive_alone
8,10379521,1037952101.0,home,21.833333333333336,8.166666666666666,6.0,6.25,0.25,walk
9,10379521,1037952111.0,school,1.75,6.25,8.0,8.166666666666666,0.16666666666666607,walk
10,10413053,1041305301.0,home,15.75,15.0,6.75,6.916666666666667,0.16666666666666696,shared
11,10413053,1041305311.0,school,7.833333333333333,6.916666666666667,14.75,15.0,0.25,bike
12,10417663,1041766301.0,home,13.25,18.75,8.0,8.5,0.5,shared
13,10417663,1041766311.0,school,9.666666666666668,8.5,18.166666666666668,18.75,0.5833333333333321,shared
14,10420111,1042011101.0,home,18.0,14.5,8.5,8.75,0.25,drive_alone
15,10420111,1042011111.0,school,5.25,8.75,14.0,14.5,0.5,shared
16,10436131,1043613102.0,home,15.733333333333333,21.733333333333334,13.466666666666667,17.5,4.033333333333333,drive_alone
17,10436131,1043613112.0,school,3.666666666666668,17.5,21.166666666666668,21.733333333333334,0.5666666666666664,drive_alone
18,10447671,1044767102.0,home,22.25,15.5,13.75,14.0,0.25,walk
19,10447671,1044767112.0,school,0.4166666666666661,14.0,14.416666666666666,15.5,1.083333333333334,walk
20,10447673,1044767301.0,home,13.0,18.166666666666668,7.166666666666667,7.333333333333333,0.16666666666666607,walk
21,10447673,1044767311.0,school,7.483333333333333,7.333333333333333,14.816666666666666,18.166666666666668,3.3500000000000014,WTranW
